DOI,Title,Abstract
10.1093/sleepj/zsx050.1076,1077 LUCID DREAMING IN VETERANS WITH PTSD: NON-NIGHTMARE DREAMS AND NIGHTMARES,Not scidirect/frontiers
10.5114/nan.2021.113320,Psychophysiological basis of lucid dreaming,Not scidirect/frontiers
10.1177/003151259508100258,Lucid Dreaming and Control in Waking Life," In a survey of 17 middle-school students, search for control over situations in waking life was positively correlated with frequency of lucid dreaming. "
10.2466/pms.1989.68.2.567,Consciousness and Abilities of Dream Characters Observed during Lucid Dreaming," A description of several phenomenological experiments is given. These were done to investigate of which cognitive accomplishments dream characters are capable in lucid dreams. Nine male experienced lucid dreamers participated as subjects. They were directed to set different tasks to dream characters they met while lucid dreaming. Dream characters were asked to draw or write, to name unknown words, to find rhyme words, to make verses, and to solve arithmetic problems. Part of the dream characters actually agreed to perform the tasks and were successful, although the arithmetic accomplishments were poor. From the phenomenological findings, nothing contradicts the assumption that dream characters have consciousness in a specific sense. Herefrom the conclusion was drawn, that in lucid dream therapy communication with dream characters should be handled as if they were rational beings. Finally, several possibilities of assessing the question, whether dream characters possess consciousness, can be examined with the aid of psychophysiological experiments. "
10.5840/chesterton2022481/212,Lucid Dreaming: The Genre and Mode of The Man Who Was Thursday,
10.1007/978-3-319-07296-8_35,The Term Ã¢ÂÂHypnosisÃ¢ÂÂ Suggests a Sleep-Like State and Recent Evidence Regarding Lucid Dreaming Bears on the Notion of a Ã¢ÂÂHidden Observer.Ã¢ÂÂ What Is Your View of the Analogy of Dreaming and Hypnosis?,"That Hobsonâs grand reformulation of the meaning of dreaming to consciousness has been greeted with hostility as well as approbation is testimony to its vigor. âTo sleep, perchance to dream â aye thereâs the rub,â quoth Hamlet, and rubbing generates friction. The idea that dreaming is a kind of warming up of consciousness for the demands of the day is consistent with the fact that REM sleep usually does not start until 90&nbsp;min after falling asleep, and REM periods increase in length from 10&nbsp;min at the beginning of the sleep cycle to an hour toward morning. Loss of REM sleep adversely affects daytime consciousness more than does loss of nonREM sleep. Depriving animals of REM sleep for several weeks leads to their death. Salient to Hobsonâs theory is the fact that the percentage of sleep devoted to REM activity is highest in infancy and childhood, even controlling for the fact that infants and children sleep longer than do adults. So as consciousness is growing and developing, REM activity is stirring it up. So perhaps dreaming is something akin to running the engine to start a balky car when the engine is cold â revving it up to catch and run normally."
10.1111/jsr.12022,"Sleep spindles, mobile phones, lucid dreaming and sleep in Parkinson's disease and autism spectrum disorders",Not scidirect/frontiers
10.1371/journal.pone.0201246,"Pre-sleep treatment with galantamine stimulates lucid dreaming: A double-blind, placebo-controlled, crossover study",Not scidirect/frontiers
10.1016/j.tics.2021.04.004,Two-Way Communication in Lucid REM Sleep Dreaming,Weird Scidirect No Abstract
10.1016/0191-8869(94)90242-9,Individual differences in locus of control and the reporting of lucid dreaming,Weird Scidirect No Abstract
10.1109/ipsn.2007.4379695,Lucid Dreaming: Reliable Analog Event Detection for Energy-Constrained Applications,Not scidirect/frontiers
10.1177/02762366221113292,"Mindfulness, Meditation, and Lucid Dreaming: A Narrow vs. Broad-Spectrum Mindfulness Study"," Both lucid dreaming and mindfulness appear to involve metacognition and awareness, or âawareness of awarenessâ in which one is aware and consciously attends to present experiences. Despite evidence for the continuity hypothesis of dreaming (which posits dream content is connected and related to the concerns and thoughts in waking life), little research has explored a relationship between lucid dreaming and waking mindfulness. The present study explores the relationship among mindfulness experience, meditation practice history, and lucid dreaming. Undergraduate students and meditators completed questionnaires assessing trait mindfulness, lucid dreaming frequency, and meditation practices. Surprisingly, lucid dreaming was not associated with meditation practice frequency or narrow-spectrum mindfulness experiences like present-centered awareness and nonjudgmental acceptance. Lucid dreaming frequency was predicted only by dream recall and mindfulness-related experiences of Transcendence. Possible personality implications are discussed. "
10.3389/fpsyg.2018.02164,Insight and Dissociation in Lucid Dreaming and Psychosis,"Frontier's Dreams and psychosis share several important features regarding symptoms and underlying neurobiology, which is helpful in constructing a testable model of, for example, schizophrenia and delirium. The purpose of the present communication is to discuss two major concepts in dreaming and psychosis that have received much attention in the recent literature: insight and dissociation. Both phenomena are considered functions of higher order consciousness because they involve metacognition in the form of reflective thought and attempted control of negative emotional impact. Insight in dreams is a core criterion for lucid dreams. Lucid dreams are usually accompanied by attempts to control the dream plot and dissociative elements akin to depersonalization and derealization. These concepts are also relevant in psychotic illness. Whereas insightfulness can be considered innocuous in lucid dreaming and even advantageous in psychosis, the concept of dissociation is still unresolved. The present review compares correlates and functions of insight and dissociation in lucid dreaming and psychosis. This is helpful in understanding the two concepts with regard to psychological function as well as neurophysiology."
10.3390/clockssleep2010007,Lucid Dreaming and the Feeling of Being Refreshed in the Morning: A Diary Study,"REM periods with lucid dreaming show increased brain activation, especially in the prefrontal cortex, compared to REM periods without lucid dreaming and, thus, the question of whether lucid dreaming interferes with the recovery function of sleep arises. Cross-sectional studies found a negative relationship between sleep quality and lucid dreaming frequency, but this relationship was explained by nightmare frequency. The present study included 149 participants keeping a dream diary for five weeks though the course of a lucid dream induction study. The results clearly indicate that there is no negative effect of having a lucid dream on the feeling of being refreshed in the morning compared to nights with the recall of a non-lucid dream; on the contrary, the feeling of being refreshed was higher after a night with a lucid dream. Future studies should be carried out to elicit tiredness and sleepiness during the day using objective and subjective measurement methods."
10.2466/pms.1980.51.3f.1039,Lucid Dreaming as a Learnable Skill: A Case Study," The author was the subject in an investigation of the feasibility of learning to dream lucidly, i.e., while knowing that one is dreaming. During the 3-yr. study, the subject recorded a total of 389 lucid dreams and developed a mnemonic technique for the voluntary induction of lucid dreams (MILD). Without using any induction procedure, the subject reported less than 1 lucid dream per month. Using auto-suggestion resulted in a range of 1 to 13 lucid dreams per month ( M = 5.4), with at most 2 per night. MILD yielded 18 to 26 lucid dreams per month ( M = 21.5), with up to 4 per night. "
10.2466/pms.1995.81.2.658,LUCID DREAMING AND CONTROL IN WAKING LIFE,Not scidirect/frontiers
10.2190/ic.29.3.h,Book Review: Lucid Dreaming: Gateway to the Inner Self,Not scidirect/frontiers
10.1016/s0191-8869(99)00078-1,"Lucid dreaming: associations with internal locus of control, need for cognition and creativity",Weird Scidirect No Abstract
10.3389/fpsyg.2020.01826,Cognitions in Sleep: Lucid Dreaming as an Intervention for Nightmares in Patients With Posttraumatic Stress Disorder,"Frontier's About 80% of posttraumatic stress disorder (PTSD) patients suffer from nightmares or dysphoric dreams that cause major distress and impact nighttime or daytime functioning. Lucid dreaming (LD) is a learnable and effective strategy to cope with nightmares and has positive effects on other sleep variables. In LDs, the dreamer is aware of the dreaming state and able to control the dream content. The aim of this study is to evaluate the effectiveness of lucid dreaming therapy (LDT) in patients suffering from PTSD. We suggest that learning a technique that enables the affected subjects to regulate the occurrence and content of nightmares autonomously increases the chance of coping with the complex symptoms of PTSD and can reduce suffering. Sleep quality (PSQI, Pittsburgh Sleep Quality Index), daytime sleepiness (ESS, Epworth Sleepiness Scale), quality of life (MQLI, Multicultural Quality of Life Index), psychological distress (SCL-90-R, Symptom Checklist 90-Revised), distress caused by traumatic events (IE-S, Impact of Events Scale), anxiety (SAS, Self-Rating Anxiety Scale), depression (SDS, Self-Rating Depression Scale), and nightmare severity were assessed in a self-rating questionnaire before and after the intervention. LDT had no effect on the investigated sleep variables. No correlation between reduction of nightmare severity and changes in PTSD-profile (IE-S) was found. Nevertheless, levels of anxiety and depression decreased significantly in the course of therapy. LDT could provide an alternate or complementary treatment option for nightmares in PTSD, specifically for symptoms of anxiety and depression."
10.3389/fpsyg.2021.635183,"Editorial: Ã¢ÂÂIs this a Dream?Ã¢ÂÂ Ã¢ÂÂ Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming",No Frontier Abstract No Abstract
10.2466/09.pms.112.1.104-108,Frequency of Lucid Dreaming in a Representative German Sample," Lucid dreams occur when a person is aware that he is dreaming while he is dreaming. In a representative sample of German adults ( N = 919), 51% of the participants reported that they had experienced a lucid dream at least once. Lucid dream recall was significantly higher in women and negatively correlated with age. However, these effects might be explained by the frequency of dream recall, as there was a correlation of .57 between frequency of dream recall and frequency of lucid dreams. Other sociodemographic variables like education, marital status, or monthly income were not related to lucid dream frequency. Given the relatively high prevalence of lucid dreaming reported in the present study, research on lucid dreams might be pursued in the sleep laboratory to expand the knowledge about sleep, dreaming, and consciousness processes in general. "
10.3389/fpsyg.2018.00384,"Lucid Dreaming: Intensity, But Not Frequency, Is Inversely Related to Psychopathology","Frontier's Lucid dreaming (LD) is awareness that one is dreaming, during the dream state. However, some define and assess LD relying also on controlling dream events, although control is present only in a subset of lucid dreams. LD has been claimed to represent well-being, and has even been used as a therapeutic agent. Conversely, LD is associated with mixed sleep-wake states, which are related to bizarre cognitions, stress, and psychopathology, and have been construed as arousal permeating and disrupting sleep. We propose that previous conflicting findings regarding relations between LD and both psychopathology and well-being, stem from the non-differentiated assessment of frequency and control. The present study aimed to develop an expansive measure of several LD characteristics (the Frequency and Intensity Lucid Dream questionnaire; FILD), and explore their relations with symptomatology. Undergraduate students (N = 187) self-reported trait LD, psychopathology (depression, anxiety, obsessive-compulsive symptoms, dissociation, and schizotypy), stress, and sleep problems; 2 months later, a subsample (n = 78) reported psychopathology again, and also completed a dream diary each morning for 14 days. Preliminary evidence supports the reliability and validity of the FILD. Items converged into four domains: frequency, intensity (e.g., control, activity, certainty of dreaming), emotional valence, and the use of induction techniques. We report an optimal frequency cutoff score to identify those likely to experience LD within a 2-week period. Whereas LD frequency was unrelated to psychopathology, LD intensity, and positive LD emotions, were inversely associated with several psychopathological symptoms. Use of deliberate induction techniques was positively associated with psychopathology and sleep problems. Additionally, we demonstrated directionality by employing a prospective-longitudinal design, showing that deliberate LD induction predicted an increase in dissociation and schizotypy symptoms across 2 months. We conclude that lucidity should not be considered as necessarily suggestive of well-being; LD may be positive or negative, depending on lucidity characteristics. Additionally, deliberate LD induction may harbor negative long-term risk."
10.1177/02762366221094245,Lucid Dreaming Frequency and Sensory-Processing Sensitivity," Previous research identified personality and neurophysiological traits that are associated with inter-individual differences in lucid dreaming frequency. The present study investigated the question as to whether sensory processing sensitivity is related to lucid dreaming. Overall, 1,807 persons (1,008 woman, 799 men) with a mean age of 47.75âÂ±â14.41 years completed the German High Sensitive Person Scale, a Big Five personality inventory, and the lucid dream frequency scale. As expected, Aesthetic Sensitivity and Low Sensory Threshold (two of the three sensory processing factors) were positively related to lucid dream frequency. Moreover, extraversion and low agreeableness were also related to lucid dreaming frequency. Although the effect sizes of these relationships are relatively small, this research can shed light on the mechanism underlying the inter-individual differences in lucid dream frequency. "
10.4324/9781315224701-20,Lucid Dreaming as a Meditative State: Some Evidence from Long-Term Meditators in Relation to the CognitivePsychological Bases of Transpersonal Phenomena*,Not scidirect/frontiers
10.3389/fpsyg.2020.00471,"Lucid Dreaming, Nightmares, and Sleep Paralysis: Associations With Reality Testing Deficits and Paranormal Experience/Belief","Frontier's Focusing on lucid dreaming, this paper examined relationships between dissociated experiences related to rapid eye movement (REM) sleep (lucid dreaming, nightmares, and sleep paralysis), reality testing, and paranormal experiences/beliefs. The study comprised a UK-based online sample of 455 respondents (110 males, 345 females, Mean age = 34.46 years, SD = 15.70), who had all previously experienced lucid dreaming. Respondents completed established self-report measures assessing control within lucid dreaming, experience and frequency of nightmares, incidence of sleep paralysis, proneness to reality testing deficits (Inventory of Personality Organization subscale, IPO-RT), subjective experience of receptive psi and life after death (paranormal experience), and paranormal belief. Analysis comprised tests of correlational and predictive relationships between sleep-related outcomes, IPO-RT scores, and paranormal measures. Significant positive correlations between sleep and paranormal measures were weak. Paranormal measures related differentially to sleep indices. Paranormal experience correlated with lucid dreaming, nightmares, and sleep paralysis, whereas paranormal belief related only to nightmares and sleep paralysis. IPO-RT correlated positively with all paranormal and sleep-related measures. Within the IPO-RT, the Auditory and Visual Hallucinations sub-factor demonstrated the strongest positive associations with sleep measures. Structural equation modeling indicated that Auditory and Visual Hallucinations significantly positively predicted dissociated experiences related to REM sleep, while paranormal experience did not. However, paranormal experience was a significant predictor when analysis controlled for Auditory and Visual Hallucinations. The moderate positive association between these variables explained this effect. Findings indicated that self-generated, productive cognitive-processes (as encompassed by Auditory and Visual Hallucinations) played a significant role in conscious control and awareness of lucid dreaming, and related dissociative sleep states (sleep paralysis and nightmares)."
10.1177/0276236616648653,Lucid Dreaming Frequency and the Big Five Personality Factors," Lucid dreaming frequency varies strongly among individuals and, thus, research has focused on identifying what factors affect this phenomenon. The present study, an online survey ( Nâ=â2,492), focused on the relationship between the Big Five personality dimensions and lucid dreaming frequency. Additionally, the personality correlates of the age of the first lucid dream were investigated. In our sample, a small but substantial portion of individual differences concerning lucid dreaming frequency was explained by the Big Five personality factors. Openness to experiences correlated positively with lucid dreaming frequency, whereas the correlation was negative for agreeableness. The relationship between neuroticism and lucid dreaming frequency disappeared when nightmare frequency was controlled. Future researchers should examine the relationship of the Big Five factors with the attitudes toward and the contents of lucid dreams. Moreover, longitudinal studies should investigate the lucid dream socialization of children and the effect of age on the course of interest in lucid dreaming. "
10.1080/15402002.2020.1739688,Managing Insomnia Using Lucid Dreaming Training: A Pilot Study,Not scidirect/frontiers
10.4992/pacjpa.76.0_3pma21,Relationship between lucid dreaming and personal trait,Not scidirect/frontiers
10.1016/j.concog.2010.08.001,Lucid dreaming and ventromedial versus dorsolateral prefrontal task performance,Weird Scidirect No Abstract
10.1016/j.concog.2016.06.002,Lucid dreaming incidence: A quality effects meta-analysis of 50 years of research,Weird Scidirect No Abstract
10.1016/j.mehy.2020.110169,"Is there a relation among REM sleep dissociated phenomena, like lucid dreaming, sleep paralysis, out-of-body experiences, and false awakening?",Weird Scidirect No Abstract
10.4992/pacjpa.82.0_1am-068,Cognitive factors related to lucid dreaming,Not scidirect/frontiers
10.5860/choice.187262,"Lucid dreaming: new perspectives on consciousness in sleep: v.1: Science, psychology, and education; v.2: Religion, creativity, and culture",Not scidirect/frontiers
10.2466/pms.1990.71.2.627,"The Multiplicity of Dreams: Cognitive-Affective Correlates of Lucid, Archetypal, and Nightmare Dreaming"," This preliminary research is the firs: to compare lucid, nightmare, and archetypal-mythological dreams on dimensions important in previous research on each. A first study of 100 subjects showed all three forms significantly correlated with each other and with estimates of dream recall. In a second study, 41 subjects were selected from the above on the basis of relative specialization in each dream form, with a control group equally high on dream recall. Here, the lucid and archetypal dreamers tended to separate themselves from nightmare sufferers on the basis of high imaginativeness, proclivity to waking mystical experience, spatial/analytic skills, and physical balance. It appears that the intensification of dreaming is expressed positively or negatively, depending on variations in these cognitive dimensions. "
10.1093/sleep/zsab294,"Lucid dreaming occurs in activated rapid eye movement sleep, not a mixture of sleep and wakefulness","Abstract
               
                  Study Objectives
                  (1) To critically test whether a previously reported increase in frontolateral 40 Hz power in lucid REM sleep, used to justify the claim that lucid dreaming is a âhybrid stateâ mixing sleep and wakefulness, is attributable to the saccadic spike potential (SP) artifact as a corollary of heightened REM density. (2) To replicate the finding that lucid dreams are associated with physiological activation, including heightened eye movement density, during REM sleep. (3) To conduct an exploratory analysis of changes in EEG features during lucid REM sleep
               
               
                  Methods
                  We analyzed 14 signal-verified lucid dreams (SVLDs) and baseline REM sleep segments from the same REM periods from six participants derived from the Stanford SVLD database. Participants marked lucidity onset with standard left-right-left-right-center (LR2c) eye-movement signals in polysomnography recordings.
               
               
                  Results
                  Compared to baseline REM sleep, lucid REM sleep had higher REM density (Î² = 0.85, p = 0.002). Bayesian analysis supported the null hypothesis of no differences in frontolateral 40 Hz power after removal of the SP artifact (BH = 0.18) and ICA correction (BH = 0.01). Compared to the entire REM sleep period, lucid REM sleep showed small reductions in low-frequency and beta band spectral power as well as increased signal complexity (all p &amp;lt; 0.05), which were within the normal variance of baseline REM sleep.
               
               
                  Conclusions
                  Lucid dreams are associated with higher-than-average levels of physiological activation during REM sleep, including measures of both subcortical and cortical activation. Increases in 40 Hz power in periorbital channels reflect saccadic and microsaccadic SPs as a result of higher REM density accompanying heightened activation.
               "
10.3389/fnhum.2014.00717,"Tickle me, I think I might be dreaming! Sensory attenuation, self-other distinction, and predictive processing in lucid dreams","Frontier's The contrast between self- and other-produced tickles, as a special case of sensory attenuation for self-produced actions, has long been a target of empirical research. While in standard wake states it is nearly impossible to tickle oneself, there are interesting exceptions. Notably, participants awakened from REM (rapid eye movement-) sleep dreams are able to tickle themselves. So far, however, the question of whether it is possible to tickle oneself and be tickled by another in the dream state has not been investigated empirically or addressed from a theoretical perspective. Here, we report the results of an explorative web-based study in which participants were asked to rate their sensations during self-tickling and being tickled during wakefulness, imagination, and lucid dreaming. Our results, though highly preliminary, indicate that in the special case of lucid control dreams, the difference between self-tickling and being tickled by another is obliterated, with both self- and other produced tickles receiving similar ratings as self-tickling during wakefulness. This leads us to the speculative conclusion that in lucid control dreams, sensory attenuation for self-produced tickles spreads to those produced by non-self dream characters. These preliminary results provide the backdrop for a more general theoretical and metatheoretical discussion of tickling in lucid dreams in a predictive processing framework. We argue that the primary value of our study lies not so much in our results, which are subject to important limitations, but rather in the fact that they enable a new theoretical perspective on the relationship between sensory attenuation, the self-other distinction and agency, as well as suggest new questions for future research. In particular, the example of tickling during lucid dreaming raises the question of whether sensory attenuation and the self-other distinction can be simulated largely independently of external sensory input."
10.1111/ane.12362,Studies with lucid dreaming as add-on therapy to Gestalt therapy,Not scidirect/frontiers
10.1016/j.concog.2013.08.005,Testing the involvement of the prefrontal cortex in lucid dreaming: A tDCS study,Weird Scidirect No Abstract
10.1093/sleep/zsaa056.110,0112 Lucid Dreaming Associated with Positive Waking Mood,"Abstract
               
                  Introduction
                  Lucid dreaming (being aware that one is dreaming) is typically a positive experience that may enhance positive mood even after waking. There is concern, however, that lucid dreaming may interfere with sleep quality. In the current experiment, participants practiced common lucid dream induction techniques over the course of a week, and kept a daily sleep and dream diary. The study objective was to assess relationships between dream lucidity and subjective sleep quality, dream emotional content, and subsequent waking mood.
               
               
                  Methods
                  There were 32 participants aged 19â33 in this open label, single arm study (mean=22.63Â±3.48; 6 males, 24 females). All participants completed a sleep and dream diary for 7 days that included scaled items (1â7 scale) concerning subjective sleep quality, negative and positive emotional intensity of a dream (if recalled). Participants also completed a 19-item lucidity questionnaire, and the Positive and Negative Affect Schedule. Average scores for the week were computed for all measures and Pearsonâs correlations conducted between lucidity and all other measures. Participants with no dream recall (n=5) were excluded. Within-subjects analyses were undertaken by selecting each participantâs highest and lowest lucidity night (n=22; 5 participants with only minimum lucidity excluded).
               
               
                  Results
                  Positive correlations were found between lucidity and dream positive emotion (r=.490, n=27, p=.009) and positive waking mood (r=.638, n=27, p&amp;lt;.001); there were no other significant correlations (all p&amp;gt;.1). Higher lucidity was associated with more positive dream content (t(21)= -3.214, p=.004) and positive waking mood (t(25)=-4.568, p&amp;lt;.001); no other significant differences were observed.
               
               
                  Conclusion
                  These data indicate that lucidity is associated with positive dreams and waking mood, with no detriment to self-reported sleep quality. The findings provide preliminary support of lucid dreaming as an intervention to improve wellbeing and mood in the short term.
               
               
                  Support
                  N/A
               "
10.1016/0301-0511(84)90056-5,Lucid dreaming: Correspondence between dreamed and actual events in one subject during rem sleep,Weird Scidirect No Abstract
10.3389/fpsyg.2019.02618,"My Dream, My Rules: Can Lucid Dreaming Treat Nightmares?","Frontier's Nightmares are defined as repeated occurrences of extremely dysphoric and well-remembered dreams that usually involve subjective threats to survival, security, or physical integrity. Generally, they occur during rapid eye movement sleep (REMS) and lead to awakenings with distress and insufficient overnight sleep. Nightmares may occur spontaneously (idiopathic) or as recurrent nightmares. Recurrent nightmares cause significant distress and impairment in occupational and social functioning, as have been commonly observed in post-traumatic stress disorder, depression and anxiety. By contrast, during lucid dreaming (LD), subjects get insight they are dreaming and may even control the content of their dreams. These features may open a way to help those who suffer from nightmare disorder through re-significations of the dream scene, i.e., knowing that they are dreaming and having control over their dream content. Thus, lucid dreamers might be able to render nightmares normal dreams, thereby assuring a restoring sleep. The aim of the present study is to review the existing literature of the use of LD as an auxiliary tool for treatment of nightmares. We conducted a careful literature search for eligible studies on the use of LD treatment for nightmares. We observed that whereas LD may be a feasible aid in the treatment of patients with nightmares through minimizing their frequency, intensity and psychological distress, the available literature is still scarce and does not provide consistent results. We conclude therefore that more research is clearly warranted for a better estimation of the effective conductance and therapeutic outcome of LD treatment in clinical practice."
10.1177/0276236615572594,Meta-Awareness During Day and Night," The present study explored the relationship between lucidity in dreams (awareness of dreams while dreaming) and mindfulness during wakefulness, also considering meditation as a possible moderating variable. An online survey was completed by 528 respondents, of whom 386 (73.1%) had lucid dream experiences. The reported frequency of lucid dreams was found to be positively related to higher dispositional mindfulness in wakefulness. This relationship was only present in those participants who reported acquaintance with meditation. Regarding the dimensions of mindfulness, lucid dream frequency was more strongly associated with mindful presence rather than acceptance. The findings support the notion of an existing relationship between lucidity in dreams and mindfulness during wakefulness, yet it remains unclear whether the relationship is influenced by actual meditation practice or whether it reflects some natural predispositions. Future studies should examine the role of different meditation practices, investigate personality variables that might influence the relationship, and explore how different facets of mindfulness and lucidity interrelate. "
10.33824/pjpr.2022.37.2.12,Nightmare and Psychosis Proneness: Mediating Role of Lucid Dreaming in Pakistani Adults,"The current study was designed to examine the role of nightmares in psychosis proneness in relation to lucid dreaming. In this correlational study, the sample comprised of 220 young Pakistani adults from both genders (124 women and 96 men) age range from 18 to 26 years (M = 21.14, SD = 1.87). The participants were assessed on nightmares, psychosis proneness, and lucid dreaming through the Mannheim Dream Questionnaire, Inventory of Personality Organization, and The Lucidity and Consciousness in Dreams Scale respectively. Pearson correlation analysis demonstrated significant inter-correlation between dream lucidity, nightmare, and psychosis proneness. Path analysis illustrated dream lucidity as a significant mediator in the link between nightmare and psychosis proneness. The results concluded that dream lucidity plays the role of facilitating factor in the development of psychosis proneness. The findings also provide insight into the role of nightmares and lucid dreaming while examining psychosis proneness."
10.1080/00048671003614213,Nightmares in the Context of PTSD Treated with Psychoeducation Regarding Lucid Dreaming,Not scidirect/frontiers
10.3389/fnhum.2013.00836,Dream characteristics in a Brazilian sample: an online survey focusing on lucid dreaming,"Frontier's During sleep, humans experience the offline images and sensations that we call dreams, which are typically emotional and lacking in rational judgment of their bizarreness. However, during lucid dreaming (LD), subjects know that they are dreaming, and may control oneiric content. Dreaming and LD features have been studied in North Americans, Europeans and Asians, but not among Brazilians, the largest population in Latin America. Here we investigated dreams and LD characteristics in a Brazilian sample (n = 3,427; median age = 25 years) through an online survey. The subjects reported recalling dreams at least once a week (76%), and that dreams typically depicted actions (93%), known people (92%), sounds/voices (78%), and colored images (76%). The oneiric content was associated with plans for the upcoming days (37%), memories of the previous day (13%), or unrelated to the dreamer (30%). Nightmares usually depicted anxiety/fear (65%), being stalked (48%), or other unpleasant sensations (47%). These data corroborate Freudian notion of day residue in dreams, and suggest that dreams and nightmares are simulations of life situations that are related to our psychobiological integrity. Regarding LD, we observed that 77% of the subjects experienced LD at least once in life (44% up to 10 episodes ever), and for 48% LD subjectively lasted less than 1 min. LD frequency correlated weakly with dream recall frequency (r = 0.20, p &lt; 0.01), and LD control was rare (29%). LD occurrence was facilitated when subjects did not need to wake up early (38%), a situation that increases rapid eye movement sleep (REMS) duration, or when subjects were under stress (30%), which increases REMS transitions into waking. These results indicate that LD is relatively ubiquitous but rare, unstable, difficult to control, and facilitated by increases in REMS duration and transitions to wake state. Together with LD incidence in USA, Europe and Asia, our data from Latin America strengthen the notion that LD is a general phenomenon of the human species."
10.1080/03080188.2017.1380468,Investigating consciousness in the sleep laboratory Ã¢ÂÂ an interdisciplinary perspective on lucid dreaming,Not scidirect/frontiers
10.1073/pnas.2123418119,"Predictive coding, multisensory integration, and attentional control: A multicomponent framework for lucid dreaming","Lucid dreaming (LD) is a mental state in which we realize not being awake but are dreaming while asleep. It often involves vivid, perceptually intense dream images as well as peculiar kinesthetic sensations, such as flying, levitating, or out-of-body experiences. LD is in the cross-spotlight of cognitive neuroscience and sleep research as a particular case to study consciousness, cognition, and the neural background of dream experiences. Here, we present a multicomponent framework for the study and understanding of neurocognitive mechanisms and phenomenological aspects of LD. We propose that LD is associated with prediction error signals arising during sleep and occurring at higher or lower levels of the processing hierarchy. Prediction errors are resolved by generating a superordinate self-model able to integrate ambiguous stimuli arriving from sensory periphery and higher-order cortical regions. While multisensory integration enables lucidity maintenance and contributes to peculiar kinesthetic experiences, attentional control facilitates multisensory integration by dynamically regulating the balance between the influence of top-down mental models and the precision weighting of bottom-up sensory inputs. Our novel framework aims to link neural correlates of LD with current concepts of sleep and arousal regulation and provide testable predictions on interindividual differences in LD as well as neurocognitive mechanisms inducing lucid dreams."
10.24832/jk.v11i1.18,IMPLEMENTASI KEBIJAKAN WARISAN BUDAYA TAKBENDA (WBTB) INDONESIA,"AbstractThe objectives of the research for policy of intangible cultural heritage (ICH) are as follow.(1) To understand the processes and problems of implementation of ICH policy in Indonesia; (2)To identify stakeholders involved in ICH policies that have been registered and confirmed; and(3) To ascertain a plan of action programs that carried out by relevant agencies following thedetermination of ICH policy in Indonesia. This study uses qualitative research method, throughinterviews and focus group discussion (FGD) to a number of informants, i.e. government officials,cultural actors, and community members. The implementation of the Minister of Education andCulture regulation that related to âthe administrative proceduresâ of ICH policy has be done asgood as possible by Directorate of Values Internalization and Cultural Diplomacy. However, it isbelieved that the effort is still need to be improved. It seems that this is caused by poor technicalability for filling the form and misunderstanding about ICH, which often confused as havingthe same meaning and value with cultural heritage. Local stakeholders need to have the sameunderstanding about the importance of the regulation of president and of Ministry of Educationand Culture. Therefore, all the regions can carry out this policy together and contribute toeach other in protecting ICH through action programs. Bidaâi, Songket, Sambas, and BetangTraditional House in West Kalimantan Province; and Makepung and Tektekan in Bali Provincehave been designated as ICH of Indonesia. However, conservation efforts should not stop at thisdetermination only.Keywords: Intangible Cultural Heritage (ICH), Bidaâi. Songket Sambas, Betang traditional house,Makepung and TektekanÂ AbstrakTujuan penelitian kebijakan Warisan Budaya Takbenda (WBTB) ini, adalah untuk: (1)mengetahui proses dan berbagai masalah dalam implementasi kebijakanWBTB Indonesia;(2) mengidentifikasi pihak-pihak yang terlibat dalam kebijakan WBTB yang telah didaftarkandan ditetapkan; dan (3) mengetahui rencana program aksi yang dilakukan oleh instansi terkaitterhadap penetapan WBTB Indonesia. Penelitian ini menggunakan metode penelitian kualitatifdengan wawancara dan Focus Group Discussion (FGD) terhadap sejumlah informan, baik dariaparat pemerintahan, pelaku budaya, maupun warga masyarakat. Hasil penelitian menunjukanbahwa implementasi Permendikbud yang terkait âprosedur administratifâ KebijakanWBTB,telah dilakukan dengan maksimal oleh Direktorat INDB, beserta jajarannya. Meskipun demikian,dalam pelaksanaannya dirasakan kurang maksimal. Hal ini tampaknya, disebabkan kemampuanteknis pengisian formulir maupun pemahaman akan arti budaya takbenda seolah-olah samadengan cagar budaya. Perlu pemahaman dari stakeholders di daerah tentang pentingnya Perpresdan Permendikbud WBTB, sehingga kebijakan ini dapat bergerak bersama di daerah dan salingberkontribusi dalam melakukan perlindungan WBTB dalam bentuk program aksi. Bidai, SongketSambas, dan Rumah Betang di Provinsi Kalimantan Barat, serta Makepung dan Tektekan diProvinsi Bali sudah ditetapkan sebagai WBTB Indonesia. Upaya pelestarian seyogyanya tidakberhenti pada penetapan WBTB tersebut.Kata kunci: Warisan Budaya Takbenda (WBTB), Bidai (Bideâ), Songket Sambas, Betang,Makepung dan Tektekan"
10.1145/3173574.3173917,Are You Dreaming?,Not scidirect/frontiers
