Title,Authors,Year,Journal,Abstract,Link
"Complete Issue-Vol 79, No 1 (2021)",['M Reece'],2021,North Carolina Libraries,What will your library be like in the post COVID environment? Will things return to “normal”  or will you use the almost sixteen-month pause to re-invent your library? A lot of people feel,http://www.ncl.ecu.edu/index.php/NCL/article/view/5399/4969
Arrow and Superhero Television: Essays on Themes and Characters of the Series,"['JF Iaccino', 'C Barker', 'M Wiatrowski']",2017,NA,"His dream of actually doing a work like the earlier Mapping Smallville text was what started  this project, and that dream became a very pleasant and satisfying reality. James would also",https://books.google.com/books?hl=en&lr=&id=ztE3DwAAQBAJ&oi=fnd&pg=PP1&dq=wbtb+induction+lucid+dreaming&ots=kPH7wKOT0t&sig=u3n-Lh60KUHzd6c_J0UGaD5rvrE
DIDEROT'S UTOPIAN VISIONS.,['PJ Bevier'],1976,NA,Their imagination is a prerequisite to reform and can even induce social experience. They are   faults to the near exclusion of any positive ele ments and presenting them as if they WBTB,https://search.proquest.com/openview/56bb84c18006eae074bae6418fbe0d41/1?pq-origsite=gscholar&cbl=18750&diss=y
Pastiching the Popular,['M Harrod'],2021,Heightened Genre and Women's Filmmaking in …,This chapter examines a range of films by different female directors that exemplify  heightened genre to show that popular films cannot be separated into emotive or intellectual,https://link.springer.com/chapter/10.1007/978-3-030-70994-5_3
Hohnsonion,"['L DABNEY', 'S ThurmonU']",NA,NA,"Some studies suggest as many u 250,000 men illegally tailed to register, while another  300,000 either refused induction or emigrated to avoid Induction. Resistance was so broad that",https://digitalcommons.winthrop.edu/cgi/viewcontent.cgi?article=1234&context=thejohnsonian1980s
"The hangout: an ethnography of the Prickly Pear, a Bohemian coffee house.",['PA Nathe'],1975,NA,"In the beginning this study was. simply an exploratory ethnography of one caff, BE house.  After. Erving Goffman loaned me a book on the history of coffee houses, I began research ing",https://search.proquest.com/openview/ab4562756300de85d4cb8fb4ff2de7cf/1?pq-origsite=gscholar&cbl=18750&diss=y
Beyond Act I: A Transdisciplinary and Experiential Approach to Afro-American Literature and Culture,['MT Harper'],1975,NA,"The humanities have always focused on man's values and creations, his uniqueness, his  commonalities—hence his literature, philosophy, religion, art and music. In many instances,",https://search.proquest.com/openview/69b29d30a1a8d047e303f7c7f8483b53/1?pq-origsite=gscholar&cbl=18750&diss=y
Negotiations between public and private realms in British writing of the 1930s,['NR Miles'],2014,NA,The focus of this study is on the altering and altered significations of categories of'public'and'private'in  selected British writings of the thirties. Its aim is to explore and further delineate,https://search.proquest.com/openview/f94d1b3dc104ec462101a4dc2b37ccc7/1?pq-origsite=gscholar&cbl=2026366
Change and conservation: portraits of two schools,['CW Deviney'],1988,NA,The purpose of this study was to examine change and conservation in two elementary  schools--one in the 1950s and one in the 1980s. The research addressed the question: Was too,https://search.proquest.com/openview/0930bca6634da740ced903d95870a85c/1?pq-origsite=gscholar&cbl=18750&diss=y
The case for identity creation: Reproductive technology and the rhetoric of social intervention,['JC Pondozzi'],1988,NA,The study focuses on women's academic and popular discourse regarding women's place in  the design and utilization of reproductive technology--those technological interventions into,https://search.proquest.com/openview/bd222057992569569eab0c21d5f9c4a2/1?pq-origsite=gscholar&cbl=18750&diss=y
A history of English folktale collections in India and Pakistan,['M Islam'],1963,NA,Ulives and concubines wbtb burnt in numbers after the deaths of Kishari Singh and Basanta  Singh. Suchet Singh's death was reputed to have been followed by the burning of ten wives,https://search.proquest.com/openview/59a8d10378dc29a4ae0182433a5a9311/1?pq-origsite=gscholar&cbl=18750&diss=y
"Charismatic communication: a critical analysis of the rhetorical behaviors of George Fox, founder of the Society of Friends",['EC Elser'],1972,NA,This dissertation was produced from a microfilm copy of the original document. While the  most advanced technological means to photograph and reproduce this document have been,https://search.proquest.com/openview/b597ce9210b843f8fe7e5c2de7c50686/1?pq-origsite=gscholar&cbl=18750&diss=y
Wordsworth's interest in painters and pictures (excluding portraits) and the effect of this on his poetry,['JR Watson'],1967,NA,In addition to this** other* parts of the poem suggest a debt to Gilpin*^- For instance * Gilpin  is very conscious of the effect and importance of light* particularly on a mountain landscape*,https://search.proquest.com/openview/69f116db25f74e1906727c2f4d18f61e/1?pq-origsite=gscholar&cbl=51922&diss=y
Institutional racism in a community mental health center.,['JH Cole'],1975,NA,Under two per cent of the white residents wbtb found to be living in overcrowded conditions.  Fifteen per cent of the residents with Spanish surnames and 17$ of the non-white residents (,https://search.proquest.com/openview/6e236c78ff7ad89e0efa5a4c0a6ed147/1?pq-origsite=gscholar&cbl=18750&diss=y
